id,union_id,name
152,PODC,Podolsk Conference
153,PUOC,Portuguese Union of Churches Conference
154,SIDAF,Sao Tome and Principe Mission
155,SUKC,Southern Ukrainian Conference
156,SUOC,Spanish Union of Churches Conference
157,SWDC,Swedish Union of Churches Conference
158,ZIMW,South Zimbabwe Conference
158,ZIMW,West Zimbabwe Conference
159,TRKS,West Asia Field
160,URUU,Uruguay Union of Churches Mission
161,WUKC,Western Ukrainian Conference
